Season,TeamName,eFGPct,TOPct,ORPct,FTRate,Size,Exp,FG2Pct,FG3Pct,FTPct,BlockPct,FG3Rate,ARate,StlRate,DFP,eFGPct1,TOPct1,ORPct1,FTRate1,Off_1,Off_2,Off_3,Def_1,Def_2,Def_3,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,win_pct,Conf
2019,Cal St. Fullerton,48.3421053,16.7675316,26.7343486,35.6842105,76.82,2.16,50.3252033,30.8394161,71.0948905,8.37209302,30.8211474,45.4314721,0.0820819,13.7660062,49.071991,19.0500228,24.5886655,38.5264342,21.8189964,55.4659498,22.7150538,20.1651456,54.4111256,25.4237288,69.7242,69.8901,97.9597,98.3388,101.182,102.492,-4.15281,0.470588235,BW
2019,Cal St. Northridge,51.5700483,17.0724852,32.465419,32.173913,75.32,0.87,50.3175723,36.0759494,63.6503068,11.3464448,30.8443143,52.3910733,0.09160846,5.79694219,51.488531,16.6144429,28.3642224,31.8204002,16.4356436,56.4752475,27.0891089,18.7904146,48.4594903,32.7500951,71.9752,70.9191,105.144,104.805,109.6,112.543,-7.73754,0.382352941,BW
2019,California,56.9086651,20.4670813,31.4405889,36.1241218,77.4,0.8,46.544182,34.9662162,72.305141,9.95975855,34.1210375,45.7374831,0.10656026,4.00783252,48.5590778,16.4299965,23.292797,34.7550432,20.5563414,50.1650165,29.2786422,18.5588605,47.2559698,34.1851697,68.4466,66.5595,99.8203,103.462,112.272,110.299,-6.83705,0.258064516,P12
2019,Campbell,54.5707227,19.5433711,28.891258,36.0098826,75.14,1.83,54.7806524,33.7740385,75.3731343,9.24548353,48.3439861,54.4270833,0.09031406,6.28689669,52.7890761,14.7562322,23.6381323,31.1446833,18.1900045,43.8541198,37.9558757,19.6087352,45.8598726,34.5313922,67.2398,65.6617,109.701,108.335,108.146,109.821,-1.48564,0.606060606,BSth
2019,Canisius,53.5634119,20.5269331,31.9006686,36.8686869,76.52,1.69,51.9654842,32.3640961,69.2173913,9.66010734,43.129771,58.39599,0.09203284,10.8290141,50.4907306,18.5870252,26.9955157,31.3522356,17.6888889,48.1777778,34.1333333,19.6548822,50.1683502,30.1767677,68.4948,67.6974,101.709,101.63,107.196,111.544,-9.91398,0.46875,MAAC
2019,Central Arkansas,51.9018743,17.9752436,30.8957953,34.2888644,77.62,1.27,46.2851406,35.2861035,72.7580372,9.40092166,42.4277457,57.6388889,0.08225176,2.47090196,49.1040462,19.6849712,24.5437956,34.1618497,20.1972757,43.3067168,36.4960075,19.0455718,47.8073947,33.1470335,71.535,70.514,98.5266,99.9255,107.322,111.363,-11.4374,0.424242424,Slnd
2019,Central Connecticut,53.0365566,18.10119,29.9412916,37.2051887,77.05,1.55,45.7960644,32.8097731,78.125,10.65662,33.885275,46.4285714,0.07550229,-3.2943543,46.9544648,19.7951516,29.6116505,34.0626848,22.0804711,50.2453386,27.6741904,20.0444444,42.4888889,37.4666667,70.0428,69.1386,98.4009,97.1877,109.03,112.08,-14.8921,0.35483871,NEC
2019,Central Michigan,50.1942691,18.6729753,33.1147541,28.8003885,75.81,2.24,48.9068826,36.9333333,67.1284635,7.08898944,37.7833753,47.9001135,0.09484017,11.131794,51.3602015,16.2282065,31.0316816,40,20.7231726,46.9673406,32.3094868,16.3834952,57.5242718,26.092233,72.7459,71.2866,108.713,110.351,104.369,106.082,4.2697,0.657142857,MAC
2019,Charleston,52.1102983,19.0587959,25.8902791,26.3927969,76.37,1.84,56.3392857,33.74613,76.142132,7.10059172,36.5798415,43.3451119,0.09717169,0.30827153,54.2468856,15.5850252,25.5511022,33.4654587,19.0194421,53.3389687,27.6415892,15.6648452,49.6357013,34.6994536,66.0543,65.4081,111.151,108.537,102.893,103.672,4.86565,0.727272727,CAA
2019,Charleston Southern,50.9356725,21.0218154,27.7085331,31.2280702,76.37,1.2,48.436019,34.4783715,69.2152918,9.3306288,42.6941879,52.0460358,0.1025225,0.2337852,49.8370451,17.9649519,29.0780142,26.9961977,15.7870583,46.9022487,37.310693,18.0620884,45.2492945,36.6886171,70.2967,69.4667,102.918,101.142,100.038,100.976,0.166405,0.529411765,BSth
2019,Charlotte,51.3375796,17.9240586,26.4110756,32.611465,77.23,1.08,49.2140266,31.0569106,74.2366412,11.1479029,42.6490985,48.1605351,0.07232515,2.87712364,48.0929265,22.0120018,22.1734358,36.3384189,21.9031532,45.8333333,32.2635135,19.0763052,45.3815261,35.5421687,65.7948,64.5084,93.0696,95.6451,104.552,106.802,-11.1565,0.275862069,CUSA
2019,Chattanooga,52.9360465,15.395189,28.4284284,31.627907,75.8,0.74,49.2616034,36.2637363,67.9802956,6.55884996,43.4367542,51.0259918,0.05698219,9.03850074,51.4916468,19.0940331,24.609375,24.2243437,13.7862138,46.6533467,39.5604396,17.5271739,52.4456522,30.0271739,68.6775,66.131,100.145,101.453,110.46,109.743,-8.29023,0.375,SC
2019,Chicago St.,57.7006508,16.6800396,34.1463415,33.7852495,76.79,2.11,43.4745763,30.4545455,68.9138577,5.6949807,27.1604938,50.8500773,0.08152604,-0.4981135,44.0740741,22.5367951,22.1797323,32.962963,20.4899777,57.1269488,22.3830735,16.907458,46.7786021,36.3139399,71.1429,70.1089,84.3424,90.3659,120.205,118.631,-28.2646,0.09375,WAC
2019,Cincinnati,48.5821295,20.8187544,29.2894281,30.4975923,76.83,1.93,47.5836431,34.4725111,70.4485488,14.4995323,33.3498513,53.440367,0.09359692,2.64750551,48.9593657,15.9639608,37.3956594,37.5619425,21.2749004,50.9960159,27.7290837,17.2288058,43.9380128,38.8331814,64.8687,63.4335,109.506,112.295,96.1575,94.7909,17.504,0.8,Amer
2019,Clemson,47.6023707,19.7574036,24.4743482,30.0107759,77.97,2.19,51.5050167,32.8290469,73.1942215,13.7377342,35.5950458,49.2196879,0.0979128,8.17107226,50.7000539,19.6699814,27.8127813,33.5487345,19.4955109,52.6720821,27.832407,18.7212512,45.8141674,35.4645814,67.2868,66.1896,102.269,107.95,94.8984,91.8123,16.1375,0.588235294,ACC
2019,Cleveland St.,51.6298343,16.8483707,33.0258303,34.0331492,76.75,1.02,48.9473684,36.4953887,68.0221812,8.08080808,44.4119368,56.7385445,0.07680169,2.06686185,51.5213575,18.4804066,26.3157895,31.6559392,17.2851104,43.68248,39.0324096,19.3005181,50,30.6994819,71.2254,69.0755,102.446,101.905,111.485,111.608,-9.70284,0.322580645,Horz
2019,Coastal Carolina,51.0131435,18.009748,28.6467487,42.3329682,77.12,1.61,49.5188102,36.9806094,71.9727891,6.9582505,38.7131367,50.4201681,0.08567744,2.61301191,51.8230563,19.5397023,32.6768129,39.4101877,21.4865963,45.978879,32.5345248,22.8890729,44.205298,32.9056291,70.9599,69.7558,107.313,106.766,105.521,105.733,1.03339,0.5,SB
2019,Colgate,50.6602336,17.8289094,27.0676692,28.2376841,77.69,1.57,53.539823,39.5232121,74.4058501,9.70790378,41.3596264,57.3913044,0.08979209,1.14174964,55.9159315,19.3398339,30.195713,28.3860924,15.8860265,47.2287276,36.8852459,16.5271967,49.2050209,34.2677824,67.4563,66.4375,110.576,110.478,103.251,105.882,4.59535,0.685714286,Pat
2019,Colorado,48.3816425,17.3913044,23.6111111,31.0628019,77.21,1.13,52.3773585,32.3488045,75.2972259,8.27532869,34.9214145,51.7316017,0.07219785,9.80219648,51.0314342,19.0267252,30.6655434,37.1807466,21.5256798,52.4169184,26.0574018,17.5380815,51.9555373,30.5063812,69.4039,68.0718,105.444,106.827,97.0085,96.0815,10.746,0.638888889,P12
2019,Colorado St.,53.0434783,16.0802615,27.0967742,29.4565217,76.41,1.54,55.4613936,35.1664255,69.0518784,6.8202765,39.4181403,54.2067308,0.09042234,1.09927016,54.3924701,17.0124506,23.8613861,31.8881917,16.8338421,51.3737462,31.7924117,16.5811966,49.5726496,33.8461539,68.9311,67.0626,107.005,107.619,109.141,109.009,-1.39058,0.375,MWC
2019,Columbia,52.0875421,18.8936961,27.1523179,38.1144781,76.36,1.64,50.6,35.4058722,69.4050992,7.6309795,36.6687777,54.4303798,0.10335013,9.2448864,51.5199493,17.9786168,24.3213898,22.3559215,13.0876068,54.0598291,32.8525641,20.7073296,45.9251666,33.3675038,68.9431,67.5901,100.608,101.92,104.867,106.469,-4.54846,0.357142857,Ivy
2019,Connecticut,49.5926127,19.9915437,30.2120141,39.1634981,76.81,1.7,50.6927465,34.4262295,68.0187208,11.8755119,37.3660031,48.2837529,0.08673121,11.4113126,51.0464523,18.5171132,32.2607959,32.7207759,17.8981938,51.0673235,31.0344828,22.4299065,51.0620221,26.5080714,69.6362,68.6056,105.486,109.007,102.147,102.231,6.77624,0.484848485,Amer
2019,Coppin St.,50.222332,16.7670067,28.8095238,33.5968379,77.28,1.85,47.6673428,28.5374554,66.4731495,9.48844885,46.031746,45.915493,0.0708406,1.85493934,45.4296661,23.1803868,25.9529603,37.7120963,21.6241738,44.381492,33.9943343,18.9070602,45.5524531,35.5404866,71.7753,70.2193,88.5826,88.9293,105.335,109.257,-20.3282,0.242424242,MEAC
2019,Cornell,50.5419281,17.4708049,29.0105668,26.7541358,76.8,2.13,52.3756906,32.9323308,71.8045113,8.36965998,42.3566879,59.1630592,0.08044467,12.1173864,51.1146497,18.9513816,18.8601036,33.8853503,19.2249623,47.7101158,33.064922,15.8594492,55.0807218,29.0598291,68.721,67.8955,98.0809,99.8909,104.149,104.877,-4.98659,0.483870968,Ivy
2019,Creighton,52.7639442,19.0588406,26.7902275,27.8884462,76.84,1.33,55.7345972,37.8787879,68.1184669,7.28314239,46.6902476,56.7164179,0.09467407,4.25558375,56.2405255,18.6040743,24.7359155,29.0045478,14.9407719,44.9369507,40.1222774,15.2738904,51.7393043,32.9868053,70.2018,68.685,108.094,111.964,103.407,99.2916,12.672,0.571428571,BE
2019,Dartmouth,52.9850746,15.9440118,24.8903509,27.9228856,76.3,1.43,50.5711319,35.6143079,71.4285714,8.36466165,40.0373599,52.3743017,0.07261629,10.2016603,51.7123288,17.5752473,24.0170032,24.8443338,14.6454265,50.0513875,35.303186,15.7686604,57.5383094,26.6930302,67.2682,65.8599,102.672,103.445,106.176,108.148,-4.70309,0.366666667,Ivy
